Text,Ground_Truth,VADER,RoBERTa
@united Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.,negative,positive,negative
@JetBlue 266 at LGB in Sunny So Cal http://t.co/V015PK7DSi,neutral,positive,neutral
"@USAirways My family, friends and colleagues will NEVER  fly USAir again. Bad weather happens. The good airlines seem to communicate better.",negative,positive,negative
"@USAirways : When You've Got to Get There, We've Got Excuses! #usairwaysfail",negative,neutral,negative
@JetBlue I'll pass along the advice. You guys rock!!,positive,neutral,positive
@SouthwestAir been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? Can a human answer? #BNA,negative,positive,negative
@AmericanAir my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?,negative,positive,negative
@AmericanAir my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?,negative,positive,negative
@SouthwestAir I've been on hold with customer service for over an hour. Can you help?!,negative,neutral,negative
@JetBlue  Alright I hope. My JetBlue app is showing a change in my seats and online shows an a320.  Don't want any surprises,neutral,positive,neutral
@SouthwestAir Is there a way to receive a refund on a trip that was Cancelled Flight online instead of calling? Your phone lines are super busy.,negative,positive,negative
@SouthwestAir your gate agent re-routed an impossible itinerary and we had to find a new airline to get us home. Super bummed about this,negative,positive,negative
"@SouthwestAir I need to Cancelled Flight one leg of a flight, but can't seem to do this online. Been on hold on the phone for 10 minutes. Any help?",negative,positive,negative
@united Does customer care have email or a phone rep that I can speak with? We had so many issues they can't be placed in 2000 characters?,negative,positive,negative
@AmericanAir you are beyond redemption. Jfk. Baggage claim looks like a luggage warehouse,negative,positive,negative
@JetBlue I'm #MakingLoveOutofNothingAtAll on my #brandloveaffair to #LAX https://t.co/kdHRUF54sW,positive,neutral,positive
@USAirways Not only did u lose the flight plan! Now ur flight crew is FAA timed out! Thx for havin us sit on the tarmac for an hr! #Pathetic,negative,positive,negative
@united I was. But I have given up.,negative,neutral,negative
"@AmericanAir - So does that mean your other flights going into Buffalo from other locations, you don't care about their safety?",negative,neutral,negative
"@united 2100$ ticket,12h biz trvl,no wifi.Missed con flt,next one#24h,missed meeting,7$ food voucher,hotel chkout#12,flt#5,no wifi#hotel",negative,neutral,negative
